Account_ID,Account_Open_Date,Account_Age_Days,Region,Avg_Monthly_Balance_THB,Is_Mule,Total_Inflow_THB,Total_Outflow_THB,Inbound_Count,Outbound_Count,Outflow_Ratio_24h,Counterparty_Diversity,Off_Peak_Frequency,Round_Amount_Ratio
ACC00065,2026-03-29,29,Bangkok,3509.79,1,148766.0,148800.0,6,10,1.0,0.1667,0.4375,0.8333
ACC00066,2017-08-28,3164,Bangkok,67587.88,0,3111.32,2427.54,8,4,0.6876,1.0,0.0,0.0
ACC00067,2020-10-29,2006,Central,20798.81,0,17058.76,6977.04,10,3,0.0,1.0,0.0,0.1
ACC00068,2026-02-28,58,Bangkok,3034.74,1,159900.0,159900.0,3,5,1.0,0.3333,0.25,0.6667
ACC00069,2025-10-19,190,Bangkok,48429.5,0,40639.87,40920.42,6,13,0.0,1.0,0.1053,0.3333
ACC00070,2025-01-06,476,Bangkok,201024.42,0,14484.15,47114.19,5,6,0.0,1.0,0.0,0.0
ACC00071,2020-11-14,1990,East,7801.41,0,1972.75,10091.99,5,9,0.3694,1.0,0.0,0.0
ACC00072,2021-03-08,1876,Bangkok,6914.68,0,1342.68,3272.64,6,3,1.0,1.0,0.2222,0.0
ACC00073,2023-06-04,1058,North,4739.33,0,16757.63,92748.49,9,12,0.0132,1.0,0.0476,0.1111
ACC00074,2017-04-25,3289,Bangkok,21841.1,0,10158.25,3348.61,7,5,0.1075,1.0,0.0833,0.0
ACC00075,2017-05-30,3254,Central,193520.81,0,4435.25,2082.72,5,3,0.0,1.0,0.0,0.0
ACC00076,2024-06-26,670,Northeast,89594.5,0,3718.7,15574.34,3,2,1.0,1.0,0.0,0.0
ACC00077,2019-06-02,2521,Bangkok,81368.27,0,1950.78,12146.24,4,6,0.0,1.0,0.0,0.0
ACC00078,2021-06-12,1780,Central,60188.52,0,6789.28,29726.0,5,8,1.0,1.0,0.0,0.0
ACC00079,2018-10-23,2743,Northeast,65320.76,0,8532.25,5404.12,5,6,0.0,1.0,0.0,0.0
ACC00080,2019-01-08,2666,North,6775.14,0,11056.83,6654.14,10,5,0.0,1.0,0.0,0.1
ACC00081,2020-07-28,2099,Bangkok,37192.85,0,8872.86,3598.65,8,8,0.3364,1.0,0.0,0.0
ACC00082,2025-06-16,315,Bangkok,356181.41,0,12984.02,2354.59,9,3,0.0,1.0,0.0833,0.0
ACC00083,2020-06-07,2150,Bangkok,18003.72,0,12718.16,1859.79,7,4,0.0309,1.0,0.0909,0.1429
ACC00084,2026-03-22,36,Bangkok,1455.53,1,192200.0,189400.0,6,9,0.9854,0.3333,0.4,0.5
ACC00085,2017-06-12,3241,Bangkok,184045.82,0,5498.09,15409.28,5,2,1.0,1.0,0.0,0.0
ACC00086,2020-01-17,2292,Northeast,33125.92,0,10059.26,39426.31,7,7,0.1072,1.0,0.0,0.0
ACC00087,2020-07-31,2096,Bangkok,49933.2,0,10089.57,4539.11,7,7,0.2283,1.0,0.0,0.0
ACC00088,2025-03-10,413,Bangkok,8203.03,0,32152.24,6710.72,5,8,0.0429,1.0,0.0769,0.2
ACC00089,2023-09-07,963,East,13609.66,0,39628.77,4578.98,9,6,0.1522,1.0,0.0,0.1111
ACC00090,2019-08-18,2444,Bangkok,110034.94,0,2884.4,15958.83,2,8,0.0,1.0,0.0,0.0
ACC00091,2023-07-10,1022,South,195451.55,0,25609.5,6790.2,7,10,0.0124,1.0,0.0,0.1429
ACC00092,2021-11-04,1635,Bangkok,31042.19,0,1480.95,8048.28,3,4,0.0,1.0,0.0,0.0
ACC00093,2017-08-06,3186,Northeast,112102.0,0,5526.09,10114.68,7,7,0.0,1.0,0.0714,0.0
ACC00094,2024-09-06,598,Northeast,21316.83,0,15956.66,195588.74,3,10,0.5954,1.0,0.0769,0.3333
ACC00095,2018-11-04,2731,North,15088.33,0,99509.09,13990.72,5,8,0.0482,1.0,0.0,0.2
ACC00096,2024-07-04,662,Bangkok,1335.84,0,19262.66,18475.82,5,9,0.055,1.0,0.0,0.2
ACC00097,2023-01-12,1201,North,88587.81,0,4340.23,61935.07,7,5,1.0,1.0,0.0833,0.0
ACC00098,2017-10-08,3123,South,11193.69,0,1391.17,6407.04,3,11,0.0,1.0,0.0,0.0
ACC00099,2024-11-26,517,Bangkok,16163.61,0,18584.69,5323.1,7,6,0.0034,1.0,0.0,0.1429
ACC00100,2017-11-08,3092,Northeast,17679.66,0,26017.61,7354.66,7,7,0.0938,1.0,0.0,0.2857
ACC00101,2022-06-10,1417,Northeast,32994.59,0,6838.96,870.86,5,2,0.0,1.0,0.1429,0.0
ACC00102,2022-08-18,1348,Central,42746.38,0,95513.05,7716.22,7,7,0.0116,1.0,0.0,0.1429
ACC00103,2021-02-01,1911,South,144934.72,0,380.12,6936.31,1,6,0.0,1.0,0.0,0.0
ACC00104,2017-05-30,3254,North,9930.08,0,2067.02,15318.1,2,3,0.0,1.0,0.0,0.0
ACC00105,2019-10-06,2395,Bangkok,17327.88,0,2331.4,28782.71,4,7,0.0,1.0,0.0909,0.0
ACC00106,2017-12-07,3063,East,27257.54,0,4131.85,21217.36,6,10,1.0,1.0,0.0625,0.0
ACC00107,2022-12-09,1235,Central,47741.38,0,756.1,3729.84,2,4,0.0,1.0,0.0,0.0
ACC00108,2021-09-24,1676,Bangkok,6730.99,0,20701.69,57430.64,5,7,1.0,1.0,0.0,0.2
ACC00109,2022-06-25,1402,North,17432.05,0,3385.69,7410.6,5,4,0.4605,1.0,0.0,0.0
ACC00110,2022-11-18,1256,Northeast,15436.33,0,31420.06,79409.7,5,14,0.0603,1.0,0.0526,0.2
ACC00111,2016-10-30,3466,Central,65684.26,0,566.63,4114.91,1,6,1.0,1.0,0.0,0.0
ACC00112,2024-08-12,623,East,42813.13,0,5768.82,11485.55,6,7,0.026,1.0,0.0,0.0
ACC00113,2024-01-14,834,Northeast,24859.14,0,4486.6,5493.25,5,6,0.295,1.0,0.0,0.0
ACC00114,2024-06-14,682,East,6614.14,0,60552.72,2056.01,6,3,0.0,1.0,0.0,0.3333
ACC00115,2026-03-11,47,Bangkok,1833.23,1,135000.0,134900.0,4,9,0.9993,0.5,0.3846,1.0
ACC00116,2019-04-22,2562,Bangkok,5354.03,0,1311.68,10664.3,4,6,1.0,1.0,0.0,0.0
ACC00117,2025-02-10,441,Bangkok,30038.23,0,7605.82,6802.93,7,6,0.0,1.0,0.0,0.0
ACC00118,2019-06-01,2522,Northeast,17049.28,0,27260.31,4210.73,5,7,0.0,1.0,0.0833,0.2
ACC00119,2020-10-23,2012,Central,39290.04,0,3850.67,2480.81,4,4,0.0,1.0,0.0,0.0
ACC00120,2023-11-05,904,East,57056.84,0,16258.7,4480.91,9,5,0.0,0.8889,0.0,0.1111
ACC00121,2018-05-28,2891,Central,29421.64,0,26910.13,112203.86,7,5,0.0,1.0,0.1667,0.1429
ACC00122,2016-10-15,3481,Central,1094.26,0,86074.81,10166.61,7,6,0.0,1.0,0.0,0.0
ACC00123,2022-01-28,1550,Bangkok,64086.25,0,7873.9,3068.34,6,5,0.0772,1.0,0.0,0.0
ACC00124,2020-11-18,1986,North,40319.03,0,2854.96,7593.4,4,6,0.0734,1.0,0.0,0.0
ACC00125,2022-04-19,1469,Central,11484.93,0,492.8,3946.34,2,3,0.0,1.0,0.0,0.0
ACC00126,2025-08-12,258,Central,35182.49,0,7485.07,2650.7,4,6,0.0,1.0,0.0,0.0
ACC00127,2019-07-15,2478,Northeast,10672.91,0,8862.24,28863.52,6,4,0.3237,1.0,0.2,0.1667
ACC00128,2024-04-11,746,Northeast,32853.32,0,1775.25,8828.02,2,6,1.0,1.0,0.125,0.0
ACC00129,2023-07-11,1021,Bangkok,108523.28,0,2327.3,2904.45,6,5,0.0,1.0,0.0,0.0
ACC00130,2018-07-18,2840,Northeast,46221.69,0,27979.09,12084.61,3,7,0.0175,1.0,0.0,0.0
ACC00131,2022-07-30,1367,Northeast,1928.29,0,32658.38,4825.37,7,5,0.0166,1.0,0.0,0.1429
ACC00132,2025-07-30,271,East,28284.22,0,29419.83,8861.79,7,10,0.1075,1.0,0.0588,0.1429
ACC00133,2017-08-22,3170,East,21652.22,0,3734.4,33571.94,3,6,0.7765,1.0,0.0,0.0
ACC00134,2021-05-12,1811,Central,6117.82,0,15107.5,1898.96,6,3,0.0477,1.0,0.0,0.1667
ACC00135,2020-11-19,1985,Bangkok,38129.23,0,16822.15,2871.91,6,3,0.0,1.0,0.0,0.1667
ACC00136,2020-12-12,1962,North,30110.67,0,20347.05,16507.65,7,7,0.0072,1.0,0.0,0.1429
ACC00137,2020-03-27,2222,Central,16530.88,0,4976.24,15769.3,3,8,0.0,1.0,0.0909,0.0
ACC00138,2021-05-21,1802,Bangkok,54558.34,0,21491.7,8760.48,5,10,0.2455,1.0,0.0667,0.2
ACC00139,2019-08-20,2442,Bangkok,15224.57,0,7024.81,3262.46,8,5,0.0106,1.0,0.0769,0.0
ACC00140,2022-07-21,1376,Central,22995.95,0,905.86,4533.54,4,6,0.0,1.0,0.0,0.0
ACC00141,2021-07-08,1754,North,48630.82,0,6433.48,44192.09,5,9,1.0,1.0,0.0714,0.0
ACC00142,2018-08-07,2820,Bangkok,15850.02,0,21232.0,7347.83,8,7,0.2998,1.0,0.0,0.125
ACC00143,2026-04-12,15,Bangkok,3975.1,1,73766.0,58800.0,4,7,0.7971,0.5,0.1818,0.75
ACC00144,2023-12-19,860,Bangkok,1829.74,0,21462.38,4350.39,4,4,0.0,1.0,0.0,0.25
ACC00145,2018-06-08,2880,Bangkok,21011.63,0,11788.63,67973.25,9,13,1.0,1.0,0.0,0.0
ACC00146,2023-05-10,1083,South,6506.14,0,5860.01,4017.15,7,4,0.0,1.0,0.0,0.0
ACC00147,2019-12-15,2325,North,21616.62,0,2186.11,4492.85,3,6,0.1043,1.0,0.1111,0.0
ACC00148,2018-07-14,2844,Central,110250.05,0,82553.89,3964.67,4,5,0.0,1.0,0.0,0.25
ACC00149,2020-03-26,2223,Central,12875.56,0,774.75,16849.36,2,4,0.0,1.0,0.0,0.0
ACC00150,2021-09-17,1683,Bangkok,123290.23,0,13362.43,34141.64,8,9,0.0665,1.0,0.0,0.125
ACC00151,2018-11-30,2705,Bangkok,14291.67,0,13181.7,28714.4,5,8,0.0,1.0,0.0,0.2
ACC00152,2021-10-26,1644,Central,11549.01,0,22316.16,2910.76,7,5,0.0,1.0,0.0,0.1429
ACC00153,2016-08-01,3556,East,42008.48,0,83127.18,22473.08,8,6,0.0093,1.0,0.0714,0.125
ACC00154,2024-04-01,756,Bangkok,92320.21,0,18180.08,3300.51,3,2,0.0,1.0,0.0,0.3333
ACC00155,2017-03-05,3340,South,63814.64,0,3606.51,3429.46,6,4,0.3677,1.0,0.0,0.0
ACC00156,2021-05-06,1817,Bangkok,10797.16,0,9547.46,1450.48,10,3,0.079,1.0,0.0,0.1
ACC00157,2018-10-23,2743,Bangkok,4693.17,0,47743.04,693.09,8,2,0.0,1.0,0.0,0.125
ACC00158,2021-11-19,1620,Northeast,12519.03,0,30671.04,4129.42,4,7,0.0352,1.0,0.0,0.25
ACC00159,2022-06-17,1410,West,1022.45,0,33018.09,14572.53,5,6,0.21,1.0,0.0,0.2
ACC00160,2018-08-24,2803,Bangkok,105039.27,0,4025.32,14193.36,6,6,0.0291,1.0,0.0,0.0
ACC00161,2022-10-13,1292,Northeast,8372.97,0,612.14,3562.78,1,7,0.0,1.0,0.0,0.0
ACC00162,2025-04-26,366,Central,6176.49,0,5467.12,4487.73,7,7,0.107,1.0,0.0,0.0
ACC00163,2021-07-16,1746,North,9036.1,0,5098.35,3844.49,7,4,0.4829,1.0,0.0,0.0
ACC00164,2016-12-10,3425,Bangkok,10408.23,0,23758.99,5979.63,9,7,0.0,1.0,0.0,0.1111
ACC00165,2018-05-05,2914,Bangkok,19993.05,0,16591.26,6710.43,11,7,0.1727,1.0,0.0556,0.0909
ACC00166,2023-03-07,1147,South,116541.81,0,5844.17,6490.42,8,4,0.8552,1.0,0.0,0.0
ACC00167,2023-01-16,1197,North,59938.49,0,6097.49,3701.36,5,4,0.0,1.0,0.1111,0.0
ACC00168,2017-05-15,3269,Bangkok,10245.32,0,3222.43,31932.94,5,7,1.0,1.0,0.0833,0.0
ACC00169,2024-12-03,510,Bangkok,4194.82,0,3261.55,26546.52,6,10,1.0,1.0,0.0625,0.0
ACC00170,2017-07-29,3194,Northeast,58977.49,0,18380.14,1275.96,7,3,0.0,1.0,0.0,0.1429
ACC00171,2026-04-06,21,North,3899.98,1,85000.0,85000.0,2,2,1.0,1.0,0.5,1.0
ACC00172,2019-01-23,2651,North,17651.39,0,4856.09,3611.07,5,4,0.0721,1.0,0.0,0.0
ACC00173,2019-11-14,2356,Central,5805.75,0,4996.05,5932.67,3,5,0.2074,1.0,0.125,0.0
ACC00174,2023-01-05,1208,Bangkok,2641.87,0,3314.56,1940.59,4,3,0.0,1.0,0.0,0.0
ACC00175,2016-06-26,3592,North,82444.94,0,738.44,20191.16,1,8,0.0,1.0,0.0,0.0
ACC00176,2020-01-22,2287,Bangkok,10496.91,0,3759.79,4091.59,5,5,0.2881,1.0,0.0,0.0
ACC00177,2019-02-07,2636,Bangkok,28398.73,0,8205.35,12807.52,10,7,1.0,1.0,0.0,0.0
ACC00178,2016-12-20,3415,Bangkok,46578.1,0,5067.79,6259.4,7,7,0.0,1.0,0.0,0.0
ACC00179,2023-04-14,1109,East,10740.83,0,12336.09,2466.11,9,4,0.0,1.0,0.0,0.1111
ACC00180,2020-06-18,2139,Central,42279.41,0,4208.41,20858.43,5,4,0.0,1.0,0.0,0.0
ACC00181,2017-06-07,3246,East,34514.54,0,27637.39,1902.65,6,7,0.0146,1.0,0.0769,0.1667
ACC00182,2025-06-26,305,Central,4522.47,0,9258.4,5655.76,8,7,0.5191,1.0,0.0,0.0
ACC00183,2026-03-12,46,South,21722.42,0,38261.43,73902.65,9,10,0.0654,1.0,0.0526,0.1111
ACC00184,2020-04-15,2203,Central,4603.8,0,9868.59,4597.29,9,6,0.1765,1.0,0.0667,0.0
ACC00185,2018-05-14,2905,Bangkok,313210.13,0,2617.46,104828.98,3,4,0.0,1.0,0.1429,0.0
ACC00186,2020-07-25,2102,South,60227.5,0,6261.88,6550.72,7,4,0.0,1.0,0.0,0.0
ACC00187,2017-05-27,3257,Bangkok,30342.19,0,7629.33,1247.03,6,3,0.0,1.0,0.0,0.0
ACC00188,2024-11-04,539,Bangkok,54975.23,0,4098.24,26919.62,3,7,0.0,1.0,0.0,0.0
ACC00189,2025-04-18,374,Central,30786.65,0,1918.51,2992.04,3,6,0.0,1.0,0.0,0.0
ACC00190,2020-11-04,2000,Northeast,55549.97,0,2269.96,15880.01,6,3,0.0,1.0,0.0,0.0
ACC00191,2026-04-13,14,Bangkok,3780.53,1,109500.0,109500.0,4,7,0.9224,0.25,0.3636,0.75
ACC00192,2026-03-13,45,Central,2737.62,1,30000.0,30100.0,1,3,1.0,1.0,0.75,1.0
ACC00193,2023-12-23,856,East,21005.38,0,4656.36,3767.08,5,7,0.0,1.0,0.0,0.0
ACC00194,2019-06-07,2516,Bangkok,53433.28,0,5769.84,31507.45,4,5,0.0,1.0,0.0,0.0
ACC00195,2024-03-13,775,West,1679.48,0,6433.3,4514.9,9,8,0.2439,1.0,0.0,0.0
ACC00196,2022-08-11,1355,Bangkok,17038.2,0,2396.8,10657.07,5,9,0.8236,1.0,0.0714,0.0
ACC00197,2019-12-17,2323,Bangkok,983.14,0,2112.48,25836.59,3,2,0.0,1.0,0.0,0.0
ACC00198,2025-04-14,378,Northeast,27884.48,0,28946.71,24156.78,8,6,0.009,1.0,0.0,0.125
ACC00199,2023-03-12,1142,North,198604.06,0,33834.63,61121.69,4,4,0.0,1.0,0.125,0.25
ACC00200,2018-12-05,2700,Bangkok,2681.83,0,3441.41,5268.38,5,5,0.0,1.0,0.0,0.0
ACC00201,2025-09-16,223,Bangkok,17835.34,0,3213.43,16880.25,3,6,0.0,1.0,0.0,0.0
ACC00202,2018-10-28,2738,Bangkok,4664.47,0,33137.41,7326.08,5,8,0.0653,1.0,0.0,0.2
ACC00203,2017-04-11,3303,Bangkok,36926.59,0,3835.97,4027.51,7,6,0.2203,1.0,0.0769,0.0
ACC00204,2023-12-23,856,North,35663.13,0,1580.47,28763.78,4,7,0.0,1.0,0.0,0.0
ACC00205,2023-07-25,1007,Bangkok,25356.56,0,3828.68,1096.54,5,2,0.0,1.0,0.0,0.0
ACC00206,2024-10-12,562,Bangkok,78447.23,0,6501.21,15000.0,8,1,0.0,1.0,0.0,0.0
ACC00207,2023-10-23,917,Bangkok,68716.58,0,11708.66,29337.85,7,11,0.1814,1.0,0.0,0.1429
ACC00208,2022-07-03,1394,East,14952.15,0,115930.97,0.0,7,0,0.0,1.0,0.0,0.1429
ACC00209,2024-09-05,599,Bangkok,20355.36,0,6575.01,41536.14,5,4,1.0,1.0,0.0,0.2
ACC00210,2021-10-05,1665,South,45246.29,0,39388.2,18868.56,7,4,0.4309,1.0,0.0,0.1429
ACC00211,2021-06-03,1789,Bangkok,17486.19,0,25755.7,8182.18,5,10,0.0159,1.0,0.0667,0.0
ACC00212,2025-12-07,141,South,14193.26,0,1812.98,16808.76,1,3,0.0,1.0,0.0,0.0
ACC00213,2016-10-01,3495,South,11495.62,0,18104.43,5698.55,11,5,0.0,1.0,0.0,0.0909
ACC00214,2019-10-12,2389,South,8180.49,0,3833.72,5095.63,3,5,0.0,1.0,0.0,0.0
ACC00215,2016-10-21,3475,South,171143.15,0,7054.14,34240.28,7,8,0.226,1.0,0.1333,0.0
ACC00216,2019-09-25,2406,Northeast,4899.52,0,22611.41,33619.02,10,9,0.0,1.0,0.0,0.1
ACC00217,2019-03-19,2596,Northeast,9039.19,0,3548.39,6120.98,5,8,0.0,1.0,0.0,0.0
ACC00218,2021-04-09,1844,Northeast,13205.26,0,4937.48,17915.6,5,9,0.0551,1.0,0.0714,0.0
ACC00219,2022-06-08,1419,Bangkok,94673.18,0,5406.72,2333.84,7,5,0.0,1.0,0.0,0.0
ACC00220,2022-01-10,1568,Bangkok,32017.64,0,4340.64,32940.34,6,4,0.9718,0.8333,0.0,0.0
ACC00221,2020-01-15,2294,East,10381.4,0,4594.99,8227.76,4,4,0.0581,1.0,0.0,0.0
ACC00222,2018-04-01,2948,South,6877.4,0,3189.77,6980.74,6,7,1.0,1.0,0.1538,0.0
ACC00223,2024-08-08,627,East,18087.65,0,5518.82,36181.51,7,8,0.0,1.0,0.0,0.0
ACC00224,2023-10-01,939,East,2375.57,0,3613.71,2623.13,4,5,0.0729,1.0,0.1111,0.0
ACC00225,2023-10-18,922,Bangkok,9905.78,0,3583.67,18111.67,3,7,0.0,1.0,0.0,0.0
ACC00226,2020-11-05,1999,Central,5258.21,0,2561.96,5901.59,4,6,0.0,1.0,0.0,0.0
ACC00227,2019-09-30,2401,Bangkok,70025.9,0,10179.84,2384.48,9,3,0.1909,1.0,0.0,0.0
ACC00228,2021-08-28,1703,Northeast,10954.07,0,49092.18,4481.85,6,9,0.0346,1.0,0.0,0.3333
ACC00229,2019-01-09,2665,East,49105.25,0,68490.59,21631.84,9,4,0.0061,1.0,0.0,0.2222
ACC00230,2021-03-28,1856,Bangkok,34464.0,0,35542.81,13039.12,9,7,0.2879,1.0,0.0,0.1111
ACC00231,2022-05-04,1454,Bangkok,37410.47,0,34000.07,32070.04,7,4,0.0,1.0,0.0,0.1429
ACC00232,2018-01-06,3033,North,143460.27,0,1277.22,2209.07,3,5,0.0,1.0,0.0,0.0
ACC00233,2026-04-13,14,Bangkok,524.85,1,279500.0,279400.0,3,6,0.9996,0.3333,0.2222,0.6667
ACC00234,2022-12-19,1225,Bangkok,50716.04,0,11657.08,6162.29,4,7,0.0763,1.0,0.0,0.0
ACC00235,2025-10-25,184,East,116718.86,0,5701.01,42169.05,3,5,0.0,1.0,0.0,0.0
ACC00236,2021-04-24,1829,South,5573.55,0,2606.83,20772.17,5,10,0.2457,1.0,0.0,0.0
ACC00237,2017-12-09,3061,North,20606.11,0,33982.95,32406.03,7,6,0.028,1.0,0.0,0.0
